antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"RACACOR_4.0, PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_2.0,0.6399722549667922,1.0,0.6399722549667922,1.0,1.0,1.0,0.0,inf,0.0,0.6399722549667922,0.0,0.8199861274833962
"CODOCUPMAE_1.0, RACACOR_4.0, PESO_2.0, APGAR5_3.0",PARTO_2.0,0.6278966964722118,1.0,0.6278966964722118,1.0,1.0,1.0,0.0,inf,0.0,0.6278966964722119,0.0,0.8139483482361058
"RACACOR_4.0, PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6621682815330209,1.0,0.6621682815330209,1.0,1.0,1.0,0.0,inf,0.0,0.662168281533021,0.0,0.8310841407665104
"CODOCUPMAE_1.0, RACACOR_4.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6154258071935828,1.0,0.6154258071935828,1.0,1.0,1.0,0.0,inf,0.0,0.6154258071935828,0.0,0.8077129035967914
"CODOCUPMAE_1.0, GESTACAO_3.0, RACACOR_4.0, APGAR5_3.0",PARTO_2.0,0.6379488801357063,1.0,0.6379488801357063,1.0,1.0,1.0,0.0,inf,0.0,0.6379488801357063,0.0,0.8189744400678531
"GESTACAO_3.0, PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6077276386532877,1.0,0.6077276386532877,1.0,1.0,1.0,0.0,inf,0.0,0.6077276386532877,0.0,0.8038638193266439
"RACACOR_4.0, ESTCIVMAE_1.0, APGAR5_3.0",PARTO_2.0,0.6726301716454386,1.0,0.6726301716454386,1.0,1.0,1.0,0.0,inf,0.0,0.6726301716454386,0.0,0.8363150858227193
"CODOCUPMAE_1.0, RACACOR_4.0, APGAR5_3.0",PARTO_2.0,0.746779851068112,1.0,0.746779851068112,1.0,1.0,1.0,0.0,inf,0.0,0.746779851068112,0.0,0.873389925534056
"ESTCIVMAE_1.0, APGAR5_3.0",PARTO_2.0,0.6848890198671689,1.0,0.6848890198671689,1.0,1.0,1.0,0.0,inf,0.0,0.6848890198671689,0.0,0.8424445099335844
"GESTACAO_3.0, PESO_2.0, MESPRENAT_1.0",PARTO_2.0,0.615375492366522,1.0,0.615375492366522,1.0,1.0,1.0,0.0,inf,0.0,0.615375492366522,0.0,0.807687746183261
"CODOCUPMAE_1.0, RACACOR_4.0, PESO_2.0",PARTO_2.0,0.6369138322647423,1.0,0.6369138322647423,1.0,1.0,1.0,0.0,inf,0.0,0.6369138322647423,0.0,0.8184569161323711
"CODOCUPMAE_1.0, RACACOR_4.0, GESTACAO_3.0",PARTO_2.0,0.6467144417929329,1.0,0.6467144417929329,1.0,1.0,1.0,0.0,inf,0.0,0.6467144417929329,0.0,0.8233572208964665
"RACACOR_4.0, PESO_2.0, QTDFILMORT_0.0",PARTO_2.0,0.6490972082458814,1.0,0.6490972082458814,1.0,1.0,1.0,0.0,inf,0.0,0.6490972082458815,0.0,0.8245486041229406
"CODOCUPMAE_1.0, RACACOR_4.0, MESPRENAT_1.0",PARTO_2.0,0.6281195192777665,1.0,0.6281195192777665,1.0,1.0,1.0,0.0,inf,0.0,0.6281195192777667,0.0,0.8140597596388832
"RACACOR_4.0, PESO_2.0, MESPRENAT_1.0",PARTO_2.0,0.6714909002041345,1.0,0.6714909002041345,1.0,1.0,1.0,0.0,inf,0.0,0.6714909002041345,0.0,0.8357454501020672
"CODOCUPMAE_1.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6240368304534085,1.0,0.6240368304534085,1.0,1.0,1.0,0.0,inf,0.0,0.6240368304534085,0.0,0.8120184152267043
"CONSULTAS_4.0, APGAR5_3.0, PESO_2.0",PARTO_2.0,0.6127699031080187,1.0,0.6127699031080187,1.0,1.0,1.0,0.0,inf,0.0,0.6127699031080187,0.0,0.8063849515540094
"CONSULTAS_4.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6382903021764756,1.0,0.6382903021764756,1.0,1.0,1.0,0.0,inf,0.0,0.6382903021764756,0.0,0.8191451510882378
"CODOCUPMAE_1.0, GESTACAO_3.0, APGAR5_3.0",PARTO_2.0,0.6472175900635404,1.0,0.6472175900635404,1.0,1.0,1.0,0.0,inf,0.0,0.6472175900635404,0.0,0.8236087950317702
"PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.672281561772232,1.0,0.672281561772232,1.0,1.0,1.0,0.0,inf,0.0,0.672281561772232,0.0,0.836140780886116
