antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ESTCIVMAE_5.0', 'PESO_2.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6043351232971037,1.0,0.6043351232971037,1.0,1.0,1.0,0.0,inf,0.0,0.6043351232971037,0.0,0.8021675616485519
"frozenset({'ESTCIVMAE_5.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6656895982862252,1.0,0.6656895982862252,1.0,1.0,1.0,0.0,inf,0.0,0.6656895982862252,0.0,0.8328447991431126
frozenset({'MESPRENAT_1.0'}),frozenset({'PARTO_2.0'}),0.8609135987835259,1.0,0.8609135987835259,1.0,1.0,1.0,0.0,inf,0.0,0.8609135987835259,0.0,0.930456799391763
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_2.0'}),0.7721980213169861,1.0,0.7721980213169861,1.0,1.0,1.0,0.0,inf,0.0,0.7721980213169861,0.0,0.8860990106584931
frozenset({'RACACOR_4.0'}),frozenset({'PARTO_2.0'}),0.6029436376590526,1.0,0.6029436376590526,1.0,1.0,1.0,0.0,inf,0.0,0.6029436376590527,0.0,0.8014718188295262
frozenset({'ESTCIVMAE_5.0'}),frozenset({'PARTO_2.0'}),0.9185383184541599,1.0,0.9185383184541599,1.0,1.0,1.0,0.0,inf,0.0,0.91853831845416,0.0,0.9592691592270799
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6719058571503713,1.0,0.6719058571503713,1.0,1.0,1.0,0.0,inf,0.0,0.6719058571503713,0.0,0.8359529285751857
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.698152814769831,1.0,0.698152814769831,1.0,1.0,1.0,0.0,inf,0.0,0.698152814769831,0.0,0.8490764073849155
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.608098350778706,1.0,0.608098350778706,1.0,1.0,1.0,0.0,inf,0.0,0.608098350778706,0.0,0.804049175389353
"frozenset({'CONSULTAS_4.0', 'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.621119022230298,1.0,0.621119022230298,1.0,1.0,1.0,0.0,inf,0.0,0.621119022230298,0.0,0.810559511115149
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6799487397730587,1.0,0.6799487397730587,1.0,1.0,1.0,0.0,inf,0.0,0.6799487397730587,0.0,0.8399743698865294
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6155339527277423,1.0,0.6155339527277423,1.0,1.0,1.0,0.0,inf,0.0,0.6155339527277424,0.0,0.8077669763638711
"frozenset({'CONSULTAS_4.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6226348330456322,1.0,0.6226348330456322,1.0,1.0,1.0,0.0,inf,0.0,0.6226348330456322,0.0,0.8113174165228161
"frozenset({'ESTCIVMAE_5.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6242319333999589,1.0,0.6242319333999589,1.0,1.0,1.0,0.0,inf,0.0,0.6242319333999589,0.0,0.8121159666999794
"frozenset({'ESTCIVMAE_5.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6575319539614305,1.0,0.6575319539614305,1.0,1.0,1.0,0.0,inf,0.0,0.6575319539614306,0.0,0.8287659769807152
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7832247081944637,1.0,0.7832247081944637,1.0,1.0,1.0,0.0,inf,0.0,0.7832247081944637,0.0,0.8916123540972318
"frozenset({'GESTACAO_3.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.8451434282189462,1.0,0.8451434282189462,1.0,1.0,1.0,0.0,inf,0.0,0.8451434282189462,0.0,0.9225717141094731
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6584548293158768,1.0,0.6584548293158768,1.0,1.0,1.0,0.0,inf,0.0,0.658454829315877,0.0,0.8292274146579384
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.7061909156549306,1.0,0.7061909156549306,1.0,1.0,1.0,0.0,inf,0.0,0.7061909156549306,0.0,0.8530954578274653
"frozenset({'ESTCIVMAE_5.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6741484920790517,1.0,0.6741484920790517,1.0,1.0,1.0,0.0,inf,0.0,0.6741484920790517,0.0,0.8370742460395258
